chapter	verse	text
1	1	Paul, an apostle of Jesus Christ, through the will of God, according to a promise of life that is in Christ Jesus,
1	2	to Timothy, beloved child: Grace, kindness, peace, from God the Father, and Christ Jesus our Lord!
1	3	I am thankful to God, whom I serve from ancestors in a pure conscience, that unceasingly I have remembrance concerning you in my supplications night and day,
1	4	desiring greatly to see you, being mindful of your tears, that with joy I may be filled,
1	5	taking remembrance of the unfeigned genuine, sincere faith that is in you, that dwelt first in your grandmother Lois, and your mother Eunice, and I am persuaded that also in you.
1	6	For which cause I remind you to stir up kindle the gift of God that is in you through the putting on of my hands,
1	7	for God did not give us a spirit of fear, but of power, and of love, and of a sound mind;
1	8	therefore you may not be ashamed of the testimony of our Lord, nor of me his prisoner, but do you suffer evil along with the good news according to the power of God,
1	9	who did save us, and did call with an holy calling, not according to our works, but according to His own purpose and grace, that was given to us in Christ Jesus, before the times of the ages,
1	10	and was made manifest now through the manifestation of our Saviour Jesus Christ, who indeed did abolish death, and did enlighten life and immortality through the good news,
1	11	to which I was placed a preacher and an apostle, and a teacher of nations,
1	12	for which cause also these things I suffer, but I am not ashamed, for I have known in whom I have believed, and have been persuaded that he is able that which I have committed to him to guard -- to that day.
1	13	The pattern example hold you of sound words, which from me you did hear, in faith and love that is in Christ Jesus;
1	14	the good thing committed guard you through the Holy Spirit that is dwelling in us;
1	15	you have known this, that they did turn from me -- all those in Asia, of whom are Phygellus and Hermogenes;
1	16	may the Lord give kindness to the house of Onesiphorus, because many times he did refresh me, and of my chain was not ashamed,
1	17	but being in Rome, very diligently he sought me, and found;
1	18	may the Lord give to him to find kindness from the Lord in that day; and how many things in Ephesus he did minister you do very well know.
2	1	You, therefore, my child, be strong in the grace that is in Christ Jesus,
2	2	and the things that you heard from me through many witnesses, these things be committing entrusting to stedfast reliable, faithful, trustworthy, dependable men, who will be sufficient also others to teach;
2	3	you, therefore, suffer evil hardship as a good soldier of Jesus Christ;
2	4	no one serving as a soldier entangles himself with the affairs of life, that him who enlisted him he may please;
2	5	and if also any one may strive, he is not crowned, except he may strive lawfully;
2	6	the laboring husbandman cultivator it benefits first of the fruits to partake.
2	7	Consider what things I say, for the Lord will give to you understanding in all things.
2	8	Remember Jesus Christ, raised out of the dead, of the seed of David, according to my good news,
2	9	in which I suffer evil hardship -- unto bonds, as an evil-doer, but the word of God has not been bound;
2	10	because of this all things do I endure, because of the choice ones, that they also salvation may obtain that is in Christ Jesus, with glory age-during.
2	11	Stedfast faithfulis the word: For if we died together -- we also shall live together;
2	12	if we do endure together -- we shall also reign together; if we deny him, he also shall deny us;
2	13	if we are not stedfast faithful, he remains stedfast faithful; to deny himself he is not able.
2	14	These things remind them of, testifying fully before the Lord -- not to strive about words to nothing profitable, but to the subversion of those hearing;
2	15	be diligent to present yourself approved to God -- a workman irreproachable, rightly dividing the word of the truth;
2	16	and the profane vain talkings stand aloof from, for to more impiety they will advance,
2	17	and their word as a gangrene will have pasture, of whom is Hymenaeus and Philetus,
2	18	who concerning the truth did swerve, saying the rising again to have already been, and do overthrow the faith of some;
2	19	sure, nevertheless, has the foundation of God stood, having this seal, 'The Lord has known those who are His,' and 'Let him depart from unrighteousness -- every one who is naming the name of Christ.'
2	20	And in a great house there are not only vessels of gold and of silver, but also of wood and of earth, and some to honour, and some to dishonour:
2	21	if, then, any one may cleanse himself from these, he shall be a vessel to honour, sanctified and profitable to the master -- to every good work having been prepared,
2	22	and the youthful lusts flee you, and pursue righteousness, faith, love, peace, with those calling upon the Lord out of a pure heart;
2	23	and the foolish and uninstructed questions be avoiding, having known that they beget strife,
2	24	and a servant of the Lord it benefits not to strive, but to be gentle unto all, apt to teach, patient under evil,
2	25	in meekness instructing those opposing -- if perhaps God may give to them repentance to an acknowledging of the truth,
2	26	and they may awake out of the devil's snare, having been caught by him at his will.
3	1	And this know you, that in the last days there shall come perilous times,
3	2	for men people shall be lovers of themselves, lovers of money, boasters, proud, evil-speakers profane, those speaking insults, to parents disobedient, unthankful, unkind unsacred (Gk. anosios),
3	3	without natural affection affectionless, implacable unappeasable, irreconcilable, relentless, false accusers slanderers, incontinent without restraint, undisciplined, lacking self-control, fierce, not lovers of those who are good,
3	4	traitors, heady rash, reckless, lofty conceited, lovers of pleasure hedonists more rather than lovers of God,
3	5	having a form semblance of piety, and its power having denied; and from these be turning away,
3	6	for of these there are those coming into the houses and leading captive the silly women, laden weighed down, heaped, piled with sins, led away with desires manifold of various sorts,
3	7	always learning, and yet never to a knowledge of truth able to come,
3	8	and, even as Jannes and Jambres stood against opposed Moses, so also these do stand against oppose the truth, men people corrupted in mind, disapproved rejected concerning the faith;
3	9	but they shall not advance any further, for their folly shall be manifest obvious, plain to all, as theirs also did become.
3	10	And you -- you have followed after my teaching, manner of life, purpose, faith, long-suffering patience, forbearance, love, endurance,
3	11	the persecutions, the afflictions, that befell me in Antioch, in Iconium, in Lystra; what persecutions I endured, and out of all the Lord did deliver me,
3	12	and all also who will to live piously in Christ Jesus shall be persecuted,
3	13	and evil men people and impostors shall advance to the worse, leading astray and being led astray.
3	14	And you -- be remaining in the things which you did learn and were entrusted confident, convinced with, having known from whom you did learn,
3	15	and because from a babe infant the Holy Writings you have known, which are able to make you wise -- to salvation, through faith that is in Christ Jesus;
3	16	every Writing is God-breathed, and profitable for teaching, for conviction, for setting aright correction, for instruction that is in righteousness,
3	17	that the man person of God may be fitted equipped -- for every good work having been completed.
4	1	I do fully testify, then, before God, and the Lord Jesus Christ, who is about to judge living and dead at his manifestation and his reign --
4	2	preach the word; be earnest in season, out of season, convict, rebuke, exhort, in all long-suffering and teaching,
4	3	for there shall be a season when the sound teaching they will not suffer, but according to their own desires to themselves they shall heap up teachers -- itching in the hearing,
4	4	and indeed, from the truth the hearing they shall turn away, and to the fables they shall be turned aside.
4	5	And you -- watch in all things; suffer evil; do the work of one proclaiming good news; of your ministration make full assurance,
4	6	for I am already being poured out, and the time of my release has arrived;
4	7	the good strife I have striven, the course I have finished, the faith I have kept,
4	8	henceforth there is laid up for me the crown of the righteousness that the Lord -- the Righteous Judge -- shall give to me in that day, and not only to me, but also to all those loving his manifestation.
4	9	Be diligent to come unto me quickly,
